linea,nombre_estacion,orden,tipoTransporte,urlInformacionEstacion
r,ópera,0,4,/tu-transporte-publico/metro/estaciones/4_36.aspx
r,príncipe pío,1,4,/tu-transporte-publico/metro/estaciones/4_127.aspx
12,puerta del sur,0,4,/tu-transporte-publico/metro/estaciones/4_205.aspx
12,parque lisboa,1,4,/tu-transporte-publico/metro/estaciones/4_210.aspx
12,alcorcón central,2,4,/tu-transporte-publico/metro/estaciones/4_211.aspx
12,parque oeste,3,4,/tu-transporte-publico/metro/estaciones/4_212.aspx
12,universidad rey juan carlos,4,4,/tu-transporte-publico/metro/estaciones/4_213.aspx
12,móstoles central,5,4,/tu-transporte-publico/metro/estaciones/4_214.aspx
12,pradillo,6,4,/tu-transporte-publico/metro/estaciones/4_215.aspx
12,hospital de móstoles,7,4,/tu-transporte-publico/metro/estaciones/4_216.aspx
12,manuela malasaña,8,4,/tu-transporte-publico/metro/estaciones/4_217.aspx
12,loranca,9,4,/tu-transporte-publico/metro/estaciones/4_218.aspx
12,hospital de fuenlabrada,10,4,/tu-transporte-publico/metro/estaciones/4_219.aspx
12,parque europa,11,4,/tu-transporte-publico/metro/estaciones/4_220.aspx
12,fuenlabrada central,12,4,/tu-transporte-publico/metro/estaciones/4_221.aspx
12,parque de los estados,13,4,/tu-transporte-publico/metro/estaciones/4_222.aspx
12,arroyo culebro,14,4,/tu-transporte-publico/metro/estaciones/4_223.aspx
12,conservatorio,15,4,/tu-transporte-publico/metro/estaciones/4_224.aspx
12,alonso de mendoza,16,4,/tu-transporte-publico/metro/estaciones/4_225.aspx
12,getafe central,17,4,/tu-transporte-publico/metro/estaciones/4_226.aspx
12,juan de la cierva,18,4,/tu-transporte-publico/metro/estaciones/4_227.aspx
12,el casar,19,4,/tu-transporte-publico/metro/estaciones/4_228.aspx
12,los espartales,20,4,/tu-transporte-publico/metro/estaciones/4_229.aspx
12,el bercial,21,4,/tu-transporte-publico/metro/estaciones/4_230.aspx
12,el carrascal,22,4,/tu-transporte-publico/metro/estaciones/4_231.aspx
12,julian besteiro,23,4,/tu-transporte-publico/metro/estaciones/4_232.aspx
12,casa del reloj,24,4,/tu-transporte-publico/metro/estaciones/4_233.aspx
12,hospital severo ochoa,25,4,/tu-transporte-publico/metro/estaciones/4_234.aspx
12,leganés central,26,4,/tu-transporte-publico/metro/estaciones/4_235.aspx
12,san nicasio,27,4,/tu-transporte-publico/metro/estaciones/4_236.aspx
6,laguna,0,4,/tu-transporte-publico/metro/estaciones/4_104.aspx
